anime_title;favorite_count
アニメ「ISLAND」;28179
ジョジョの奇妙な冒険 ダイヤモンドは砕けない;28145
生徒会役員共;28113
刀使ノ巫女;28094
抱かれたい男1位に脅されています。;28090
るろうに剣心 ‐明治剣客浪漫譚‐;28088
少女終末旅行;28019
憑物語;27958
銀魂 (3年目);27914
アルスラーン戦記;27907
学戦都市アスタリスク;27905
キルラキル;27864
ログ・ホライズン　第２シリーズ;27839
Charlotte;27770
不機嫌なモノノケ庵;27761
アクセル・ワールド－インフィニット・バースト－;27737
僕の彼女がマジメ過ぎるしょびっちな件;27677
銀魂’;27624
ラブライブ！サンシャイン!!;27621
ジョジョの奇妙な冒険;27583
暗殺教室(第2期);27487
のんのんびより;27459
結城友奈は勇者である;27278
心が叫びたがってるんだ。;27262
はじめてのギャル;27070
デビルズライン;27004
「幽☆遊☆白書」　霊界探偵編/暗黒武術会編;26948
俺の妹がこんなに可愛いわけがない;26874
響け！ユーフォニアム2;26874
フルメタル･パニック！ Invisible Victory;26786
<物語>シリーズ セカンドシーズン（第7話～第10話） 傾物語;26768
ブラック・ブレット;26762
はんだくん;26706
はねバド！;26618
ちはやふる;26597
干物妹！うまるちゃん;26573
となりの吸血鬼さん;26536
まおゆう魔王勇者;26437
ひぐらしのなく頃に;26340
さくら荘のペットな彼女;26296
終末のイゼッタ;26280
コードギアス 亡国のアキト;26195
赤髪の白雪姫 2ndシーズン;26055
七つの大罪 聖戦の予兆;26029
暗殺教室;25965
刀語;25857
Fate/kaleid liner プリズマ☆イリヤ;25835
狼と香辛料;25743
恋と嘘;25636
CLANNAD　AFTER　STORY;25625
K;25563
<物語>シリーズ セカンドシーズン（第12話～第15話） 囮物語;25505
Just Because！;25466
ラブライブ！;25437
はるかなレシーブ;25416
<物語>シリーズ セカンドシーズン（第17話～第20話） 鬼物語;25395
弱虫ペダル;25349
冴えない彼女の育てかた♭;25340
3月のライオン;25306
問題児たちが異世界から来るそうですよ?;25258
妖怪アパートの幽雅な日常;25241
カウボーイビバップ;25157
<物語>シリーズ セカンドシーズン（第21話～第26話） 恋物語;25136
ジョジョの奇妙な冒険 スターダストクルセイダース;25126
僕は友達が少ない;24931
図書館戦争;24853
<物語>シリーズ セカンドシーズン（第27話～第31話） 花物語;24816
この美術部には問題がある！;24724
東京レイヴンズ;24601
アカメが斬る！;24569
サクラダリセット;24562
花咲くいろは;24537
生徒会役員共＊;24527
人外さんの嫁 dアニメストアスペシャルVer.;24444
月曜日のたわわ;24411
らき☆すた;24411
ガイコツ書店員 本田さん;24393
秒速5センチメートル;24344
とある科学の超電磁砲 OVA;24302
異世界居酒屋～古都アイテーリアの居酒屋のぶ～;24294
食戟のソーマ 餐ノ皿「遠月列車篇」;24224
ニセコイ;24219
夏目友人帳　いつかゆきのひに;24142
RELEASE THE SPYCE;24119
アルスラーン戦記　風塵乱舞;24096
銀魂゜;24064
デジモンアドベンチャー;23981
黒執事 Book of Circus;23962
王室教師ハイネ;23928
クオリディア・コード;23918
蟲師;23897
となりの怪物くん;23893
ノラガミ ARAGOTO;23837
新世界より;23795
"CHAOS;CHILD";23774
ユリシーズ ジャンヌ・ダルクと錬金の騎士;23641
学園ベビーシッターズ;23594
最弱無敗の神装機竜《バハムート》;23563
機動戦士ガンダム THE ORIGIN　シャア・セイラ編;23532
桜蘭高校ホスト部;23399
中二病でも恋がしたい！戀;23363
IS<インフィニット・ストラトス>;23360
対魔導学園35試験小隊;23350
ラブライブ！サンシャイン!!TVアニメ2期;23264
食戟のソーマ 弐ノ皿;23260
citrus;23254
ジョジョの奇妙な冒険 スターダストクルセイダース エジプト編;23215
徒然チルドレン;23143
電脳コイル　デンノウコイル;22986
こみっくがーるず;22972
双星の陰陽師;22952
甲鉄城のカバネリ;22897
デート・ア・ライブ;22861
ハイスクールD×D　HERO;22826
機巧少女は傷つかない;22785
俺の彼女と幼なじみが修羅場すぎる;22772
未確認で進行形;22713
這いよれ！ニャル子さん;22700
フルメタル・パニック!;22677
TVアニメ「Free!」;22662
「終物語」まよいヘル／ひたぎランデブー／おうぎダーク;22635
GOSICK-ゴシック-;22552
屍者の帝国;22501
ストライク・ザ・ブラッドII OVA;22470
Another;22458
曇天に笑う;22457
されど罪人は竜と踊る;22447
暦物語;22431
蛍火の杜へ;22423
暁のヨナ;22417
BanG Dream!;22399
魔法陣グルグル;22342
アウトブレイク・カンパニー;22333
スラムダンク;22264
弱虫ペダル GLORY LINE;22160
夏目友人帳 伍　特別編１　一夜盃（ひとよさかずき）;22142
フレームアームズ・ガール;22121
「鬼灯の冷徹」OAD;22106
学戦都市アスタリスク 2nd SEASON;22077
このはな綺譚;21958
監獄学園(プリズンスクール);21905
京都寺町三条のホームズ;21880
喰霊-零-;21852
ルパン三世 PART5;21836
だがしかし２;21774
六花の勇者;21722
魔弾の王と戦姫;21717
Fate/kaleid liner プリズマ☆イリヤ ドライ!!;21712
武装少女マキャヴェリズム;21636
銀の匙 Silver Spoon（第1期）;21630
ダンジョンに出会いを求めるのは間違っているだろうか OVA;21588
機動戦士ガンダム00　ファーストシーズン;21576
銀魂’  延長戦;21526
境界線上のホライゾン;21492
BLACK LAGOON;21488
FAIRY TAIL　第1話～第48話;21451
うどんの国の金色毛鞠;21434
戦姫絶唱シンフォギア;21432
スロウスタート;21418
未来日記;21390
神様はじめました;21387
うらら迷路帖;21334
東のエデン;21209
ヘヴィーオブジェクト;21198
聖剣使いの禁呪詠唱（ワールドブレイク）;21168
俺物語!!;21155
魔法少女育成計画;21116
ベルゼブブ嬢のお気に召すまま。;21099
涼宮ハルヒの消失;21043
黒執事;20928
だがしかし;20920
月がきれい;20919
有頂天家族２;20898
四畳半神話大系;20879
十二国記;20876
キングダム;20868
Free! - Eternal Summer -;20868
恋愛暴君;20868
劇場版トリニティセブン -悠久図書館と錬金術少女-;20860
ReLIFE;20858
僕らはみんな河合荘;20727
俺の妹がこんなに可愛いわけがない。;20721
ヤマノススメ;20711
ラブライブ！2期;20679
夏目友人帳　ニャンコ先生とはじめてのおつかい;20633
シャーマンキング;20612
ソウルイーター;20600
クロックワーク・プラネット;20587
バチカン奇跡調査官;20581
灼眼のシャナ;20543
あかねさす少女;20534
ハイスクール・フリート;20518
ベルセルク;20509
弱虫ペダル NEW GENERATION;20503
<物語>シリーズ セカンドシーズン（第6話・第11話・第16話） 総集編;20487
蒼き鋼のアルペジオ -アルス・ノヴァ-;20449
博多豚骨ラーメンズ;20383
モンスター娘のいる日常;20337
アイドルマスター シンデレラガールズ;20316
91days;20265
ちおちゃんの通学路;20262
銀河英雄伝説 Die Neue These;20210
K　RETURN OF KINGS;20206
のんのんびより りぴーと;20196
異能バトルは日常系のなかで;20152
Caligula -カリギュラ-;20152
昭和元禄落語心中;20139
たくのみ。;19944
山田くんと7人の魔女;19929
ひなこのーと;19918
青の祓魔師　京都不浄王篇;19816
機動戦士ガンダム;19752
魔装学園H×H(ハイブリッドハート);19726
ウマ娘　プリティーダービー;19684
のうりん;19588
交響詩篇エウレカセブン;19573
ひとりじめマイヒーロー;19548
私がモテてどうすんだ;19506
たまこまーけっと;19460
ストライク・ザ・ブラッドOVA ｢ヴァルキュリアの王国篇｣;19366
One Room;19358
IS<インフィニット・ストラトス>2;19260
魔法騎士レイアース;19135
王様ゲーム The Animation;19121
ダンガンロンパ3―The End of 希望ヶ峰学園―未来編;19117
GRANBLUE FANTASY The Animation;19076
残響のテロル;19026
TARI　TARI;19021
輪るピングドラム;19006
Fate/kaleid liner プリズマ☆イリヤ ツヴァイ ヘルツ！;18983
BLOOD-C;18977
生徒会役員共　番外編;18947
Fate/kaleid liner プリズマ☆イリヤ ツヴァイ！;18941
グリザイアの果実;18935
アイドルマスター SideM;18929
君に届け;18909
ダンガンロンパ3―The End of 希望ヶ峰学園―絶望編;18877
TVアニメ「ペルソナ４ ザ・ゴールデン」;18860
みなみけ;18852
ミイラの飼い方;18841
緋弾のアリア;18810
ドラゴンボール超;18794
僕は友達が少ないNEXT;18701
俺がお嬢様学校に「庶民サンプル」としてゲッツされた件;18683
CONCEPTION;18680
フルーツバスケット;18674
蒼穹のファフナー;18524
デュラララ!!×２ 結;18519
乱歩奇譚　Game of Laplace;18514
アイドルマスター;18490
ヤマノススメ サードシーズン;18475
マクロス7;18463
機動戦士ガンダム00　セカンドシーズン;18461
ツルネ －風舞高校弓道部－;18456
ハンドレッド;18431
中間管理録 トネガワ【日テレオンデマンド】;18395
少女☆歌劇 レヴュースタァライト;18345
変態王子と笑わない猫。;18272
さんかれあ;18256
リトルバスターズ！;18243
きんいろモザイク;18228
新妹魔王の契約者(テスタメント);18226
sin 七つの大罪;18191
ミュージカル『刀剣乱舞』 トライアル公演 千秋楽;18140
天使の3P！;18043
ニル・アドミラリの天秤;18026
はぐれ勇者の鬼畜美学（エステティカ）;17936
勇者になれなかった俺はしぶしぶ就職を決意しました。;17902
私がモテないのはどう考えてもお前らが悪い！;17876
ヨルムンガンド;17872
さよなら絶望先生;17863
うたの☆プリンスさまっ♪ マジLOVEレジェンドスター;17854
ゼロの使い魔;17844
セイレン;17821
ストライクウィッチーズ;17799
BLOOD＋;17799
劇場版 Free!-Timeless Medley- 絆;17780
planetarian ～ちいさなほしのゆめ～;17763
空戦魔導士候補生の教官;17712
学園黙示録ハイスクールオブザデッド;17705
ガーリッシュ ナンバー;17680
バジリスク～甲賀忍法帖～;17661
To LOVEる-とらぶる-;17655
ゴールデンタイム;17589
ナンバカ;17578
クロスアンジュ 天使と竜の輪舞（ロンド）;17563
バカとテストと召喚獣にっ!;17562
デュラララ!!×２ 転;17558
ちはやふる2;17498
